Año;Variedad;Modulo;Sem Poda
2016;Biloxi;1;47
2016;Ventura;1;46
2016;Springhigh;1;46
2016;Snowchaser;1;46
2016;Emerald;1;3
2017;Biloxi;1;3
2017;Ventura;1;1
2017;Springhigh;1;2
2017;Snowchaser;1;2
2017;Emerald;1;2
2017;Biloxi;2;42
2018;Biloxi;1;5
2018;Ventura;1;51
2018;Springhigh;1;1
2018;Snowchaser;1;1
2018;Emerald;1;2
2018;Biloxi;2;4
2018;Biloxi;3;36
2018;Biloxi;4;11
2018;Biloxi;5;14
2018;Ventura;5;15
2019;Biloxi;1;3
2019;Ventura;1;2
2019;Biloxi;2;4
2019;Biloxi;3;3
2019;Biloxi;4;5
2019;Biloxi;5;5
2019;Ventura;5;5
2019;Biloxi;6;6
2019;Ventura;6;6
2019;Biloxi;7;15
2019;Ventura;7;8
2020;Biloxi;1;1
2020;Ventura;1;51
2020;Biloxi;2;4
2020;Biloxi;3;3
2020;Biloxi;4;4
2020;Biloxi;5;3
2020;Ventura;5;52
2020;Biloxi;6;2
2020;Ventura;6;52
2020;Biloxi;7;2
2020;Ventura;7;51
2020;Biloxi;8;48
2021;Biloxi;1;6
2021;Biloxi;2;6
2021;Biloxi;3;4
2021;Biloxi;4;7
2021;Biloxi;5;4
2021;Ventura;5;4
2021;Biloxi;6;3
2021;Ventura;6;3
2021;Biloxi;7;3
2021;Ventura;7;2
2021;Biloxi;8;7
2021;Rocio;9.1;3
2021;Rocio;9.2;3
2021;Rocio;10;9
2022;Biloxi;1;6
2022;Biloxi;2;6
2022;Biloxi;3;5
2022;Biloxi;4;52
2022;Biloxi;5;51
2022;Ventura;5;51
2022;Biloxi;6;52
2022;Ventura;6;50
2022;Biloxi;7;2
2022;Ventura;7;2
2022;Biloxi;8;3
2022;Rocio;9.1;2
2022;Rocio;9.2;2
2022;Rocio;10;3
2022;Sekoya Pop;11.2;52
2022;Sekoya Beauty;11.2;47
2022;Rocio;12;12
2022;Madeira;12;18
2022;Rocio;13.1;35
2022;Rocio;14.1;48
2023;Biloxi;1;13
2023;Biloxi;2;13
2023;Biloxi;3;15
2023;Biloxi;4;2
2023;Biloxi;5;2
2023;Ventura;5;2
2023;Biloxi;6;4
2023;Ventura;6;4
2023;Biloxi;7;5
2023;Ventura;7;6
2023;Biloxi;8;12
2023;Rocio;9.1;49
2023;Rocio;9.2;49
2023;Rocio;10;7
2023;Sekoya Pop;11.2;5
2023;Sekoya Beauty;11.2;5
2023;Rocio;12;7
2023;Atlas Blue;12;7
2023;Madeira;12;7
2023;Rocio;13.1;18
2023;Rocio;13.2;19
2023;Rocio;14.1;20
2024;Biloxi;1;10
2024;Biloxi;2;10
2024;Sekoya Pop;3;22
2024;Biloxi;4;4
2024;Biloxi;5;5
2024;Ventura;5;5
2024;Biloxi;6;4
2024;Ventura;6;4
2024;Biloxi;7;7
2024;Ventura;7;5
2024;Biloxi;8;11
2024;Imperial;9.1;23
2024;Imperial;9.2;23
2024;Rocio;10;5
2024;Madeira;10;5
2024;Malibu;10;5
2024;Manila;10;5
2024;Sekoya Beauty;10;5
2024;Sekoya Pop;11.1;12
2024;Sekoya Pop;11.2;12
2024;Sekoya Beauty;11.2;12
2024;Rocio;12;13
2024;Atlas Blue;12;13
2024;Madeira;12;13
2024;Rocio;13.1;15
2024;Rocio;14.1;14
2024;Rocio;14.2;14
2024;Sekoya Pop;14.2;14
2024;Imperial;14.2;14
2024;Milagro;14;14
2025;Sekoya Pop;1;2
2025;Sekoya Pop;2;2
2025;Sekoya Pop;3;4
2025;Biloxi;4;50
2025;Biloxi;5;50
2025;Ventura;5;50
2025;Magica;6;30
2025;Biloxi;7;8
2025;Ventura;7;8
2025;Biloxi;8;7
2025;Imperial;9.1;4
2025;Imperial;9.2;4
2025;Rocio;10;50
2025;Madeira;10;50
2025;Malibu;10;50
2025;Manila;10;50
2025;Sekoya Beauty;10;50
2025;Sekoya Pop;11.1;3
2025;Sekoya Pop;11.2;52
2025;Sekoya Beauty;11.2;52
2025;Rocio;12;5
2025;Atlas Blue;12;5
2025;Madeira;12;5
2025;Rocio;13.1;12
2025;Rocio;13.2;12
2025;Rocio;14.1;2
2025;Rocio;14.2;2
2025;Sekoya Pop;14.2;2
2025;Imperial;14.2;2
2025;Milagro;14.2;2
2025.3;Sekoya Pop;1;2
2025.3;Sekoya Pop;2;7
2025.3;Sekoya Pop;3;49
2025.3;Magica;4;47
2025.3;Magica;5;47
2025.3;Magica;6;48
2025.3;Biloxi;7;8
2025.3;Ventura;7;8
2025.3;Biloxi;8;2
2025.3;Imperial;9.1;16
2025.3;Imperial;9.2;6
2025.3;Rocio;10;14
2025.3;Madeira;10;14
2025.3;Malibu;10;14
2025.3;Manila;10;14
2025.3;Sekoya Beauty;10;14
2025.3;Sekoya Pop;10;14
2025.3;Sekoya Pop;11.1;51
2025.3;Sekoya Pop;11.2;4
2025.3;Sekoya Beauty;11.2;4
2025.3;Rocio;12;5
2025.3;Madeira;12;5
2025.3;Atlas Blue;12;5
2025.3;Rocio;13.1;1
2025.3;Rocio;13.2;52
2025.3;Rocio;14.1;10
2025.3;Rocio;14.2;10
2025.3;Imperial;14;10
2025.3;Milagro;14;10
2025.3;Sekoya Pop;14;10
2025.6;Sekoya Pop;1;2
2025.6;Sekoya Pop;2;7
2025.6;Sekoya Pop;3;49
2025.6;Magica;4;47
2025.6;Magica;5;47
2025.6;Magica;6;48
2025.6;Biloxi;7;8
2025.6;Ventura;7;8
2025.6;Biloxi;8;2
2025.6;Imperial;9.1;16
2025.6;Imperial;9.2;6
2025.6;Rocio;10;14
2025.6;Madeira;10;14
2025.6;Malibu;10;14
2025.6;Manila;10;14
2025.6;Sekoya Beauty;10;14
2025.6;Sekoya Pop;10;14
2025.6;Sekoya Pop;11.1;51
2025.6;Sekoya Pop;11.2;4
2025.6;Sekoya Beauty;11.2;4
2025.6;Rocio;12;5
2025.6;Madeira;12;5
2025.6;Atlas Blue;12;5
2025.6;Rocio;13.1;1
2025.6;Rocio;13.2;52
2025.6;Rocio;14.1;10
2025.6;Rocio;14.2;10
2025.6;Imperial;14;10
2025.6;Milagro;14;10
2025.6;Sekoya Pop;14;10
2026;Sekoya Pop;1;2
2026;Sekoya Pop;2;7
2026;Sekoya Pop;3;49
2026;Magica;4;47
2026;Magica;5;47
2026;Magica;6;48
2026;Biloxi;7;8
2026;Ventura;7;8
2026;Biloxi;8;2
2026;Imperial;9.1;16
2026;Imperial;9.2;6
2026;Rocio;10;14
2026;Madeira;10;14
2026;Malibu;10;14
2026;Manila;10;14
2026;Sekoya Beauty;10;14
2026;Sekoya Pop;10;14
2026;Sekoya Pop;11.1;51
2026;Sekoya Pop;11.2;4
2026;Sekoya Beauty;11.2;4
2026;Rocio;12;5
2026;Madeira;12;5
2026;Atlas Blue;12;5
2026;Rocio;13.1;1
2026;Rocio;13.2;52
2026;Rocio;14.1;10
2026;Rocio;14.2;10
2026;Imperial;14;10
2026;Milagro;14;10
2026;Sekoya Pop;14;10
