Nombre_Archivo,Frecuencia,norm
FCM15-005 (2022),127,FCM150052022
FCM15-005 (2023),123,FCM150052023
MEGACRISP (T111-519),100,MEGACRISPT111519
FCM15 - 005- 2022,60,FCM150052022
MAGAGEM (T111-219),38,MAGAGEMT111219
FCM15 - 005- 2023,36,FCM150052023
MANILA 2° SIEMBRA,28,MANILA2°SIEMBRA
FCM15 - 005 - 2023,19,FCM150052023
MANILA 2°SIEMBRA,19,MANILA2°SIEMBRA
FCM15 - 005 - 2022,19,FCM150052022
ATLAS BLUE 2° SIEMBRA,12,ATLASBLUE2°SIEMBRA
JUPITER,9,JUPITER
BIANCA,6,BIANCA
FCM 15-087,2,FCM15087
SIN SEMBRAR,1,SINSEMBRAR
FL 03-228,1,FL03228
U. DE LA FLORIDA,1,UDELAFLORIDA
INDIGO CRISP,1,INDIGOCRISP
MAGA GEM,1,MAGAGEM
FALCONE,1,FALCONE
