ID_Poda,Lote,Fecha_Poda,Tipo_Poda,Costo,Horas_Hombre
1,LOTE-035,2026-10-08,Sanidad,330.16,66
2,LOTE-050,2026-02-15,Rejuvenecimiento,1785.9,47
3,LOTE-045,2026-04-03,Produccion,681.39,32
4,LOTE-040,2026-09-14,Formacion,1503.55,92
5,LOTE-031,2026-11-19,Formacion,259.52,75
6,LOTE-013,2026-10-06,Rejuvenecimiento,200.62,40
7,LOTE-036,2026-07-11,Produccion,887.21,82
8,LOTE-029,2026-09-24,Produccion,213.57,28
9,LOTE-030,2026-08-19,Rejuvenecimiento,1915.94,10
10,LOTE-014,2026-11-13,Produccion,1733.77,59
11,LOTE-045,2026-10-26,Rejuvenecimiento,1827.83,27
12,LOTE-030,2026-09-08,Sanidad,1873.86,26
13,LOTE-008,2026-04-09,Rejuvenecimiento,1746.79,29
14,LOTE-032,2026-05-02,Formacion,1703.03,23
15,LOTE-004,2026-11-08,Formacion,585.25,70
16,LOTE-035,2026-05-19,Formacion,91.4,36
17,LOTE-015,2026-11-16,Sanidad,1719.42,59
18,LOTE-039,2026-08-23,Produccion,1795.43,61
19,LOTE-042,2026-06-11,Formacion,150.62,48
20,LOTE-020,2026-08-26,Sanidad,692.3,104
21,LOTE-036,2026-02-20,Formacion,744.29,99
22,LOTE-038,2026-12-24,Formacion,1250.8,114
23,LOTE-030,2026-06-28,Rejuvenecimiento,98.93,75
24,LOTE-017,2026-06-04,Rejuvenecimiento,544.38,79
25,LOTE-022,2026-08-27,Rejuvenecimiento,615.26,106
26,LOTE-024,2026-03-13,Produccion,860.66,104
27,LOTE-021,2026-10-18,Sanidad,N/A,
28,LOTE-032,2026-06-20,Sanidad,880.2,44
29,LOTE-027,2026-04-22,Rejuvenecimiento,271.99,5
30,LOTE-035,2026-08-15,Formacion,451.57,104
31,LOTE-025,2026-09-12,Produccion,846.33,117
32,LOTE-011,2026-01-31,Produccion,-803.98,43
33,LOTE-031,2026-10-05,Sanidad,3886.01,-5
34,LOTE-030,2026-06-23,Sanidad,1814.63,92
35,LOTE-015,2026-04-17,Produccion,1625.98,50
36,LOTE-011,2026-08-03,Sanidad,545.34,103
37,LOTE-029,2026-10-25,Sanidad,1028.99,115
38,LOTE-001,2026-09-20,Produccion,784.51,33
39,LOTE-018,2026-04-21,Rejuvenecimiento,1347.91,30
40,LOTE-020,2026-04-25,Formacion,129.59,92
41,LOTE-032,2026-09-23,Sanidad,443.77,41
42,LOTE-009,2026-02-23,Sanidad,77.33,63
43,LOTE-017,2026-12-21,Rejuvenecimiento,783.47,6
44,LOTE-022,2026-09-22,Rejuvenecimiento,874.08,69
45,LOTE-028,2026-07-01,Sanidad,1845.57,81
46,LOTE-016,2026-02-12,Sanidad,692.6,38
47,LOTE-005,2026-01-13,Produccion,-530.85,7
48,LOTE-030,2026-07-24,Sanidad,630.84,85
49,LOTE-015,2026-04-25,Rejuvenecimiento,888.91,70
50,LOTE-003,2026-01-25,Produccion,1589.51,47
51,LOTE-005,2026-01-10,Sanidad,731.2,82
52,LOTE-049,2026-10-19,Produccion,464.47,73
53,LOTE-025,2026-09-19,Rejuvenecimiento,319.57,51
54,LOTE-005,2026-05-15,Formacion,860.59,112
55,LOTE-023,2026-09-17,Sanidad,1567.94,31
56,LOTE-034,2026-11-03,Formacion,533.5,80
57,LOTE-021,2026-05-31,Produccion,1575.09,20
58,LOTE-049,2026-03-06,Rejuvenecimiento,148.5,37
59,LOTE-013,2026-12-24,Produccion,534.14,70
60,LOTE-035,2026-10-06,Sanidad,121.46,45
61,LOTE-038,2026-11-05,Formacion,1405.79,87
62,LOTE-016,2026-08-24,Sanidad,893.71,31
63,LOTE-007,2026-11-08,Formacion,1937.28,26
64,LOTE-031,2026-08-13,Rejuvenecimiento,217.69,120
65,LOTE-027,2026-11-11,Produccion,821.5,56
66,LOTE-040,2026-12-21,Sanidad,162.65,50
67,LOTE-048,2026-02-02,Formacion,887.85,107
68,LOTE-034,2026-01-03,Produccion,1376.72,6
69,LOTE-031,2026-12-24,Sanidad,1259.28,88
70,LOTE-022,2026-03-17,Rejuvenecimiento,1099.56,30
71,LOTE-027,2026-12-09,Formacion,-457.6,78
72,LOTE-020,2026-02-16,Formacion,110.82,94
73,LOTE-011,2026-07-14,Sanidad,1590.67,110
74,LOTE-006,2026-03-31,Produccion,1376.22,40
