ID_Proyeccion,Escenario,Fecha,Valor,Comentario
1,Base,2026-11-21,202549.08,Ajuste valido para Base
2,Base,2026-02-16,348398.07,Ajuste valido para Base
3,Pesimista,2026-06-21,473793.98,Ajuste valido para Pesimista
4,Base,2026-05-15,328834.0,Ajuste valido para Base
5,Base,2026-01-18,375709.18,Ajuste valido para Base
6,Pesimista,2026-04-25,410363.83,Ajuste valido para Pesimista
7,Base,2026-02-12,61339.28,Ajuste valido para Base
8,Pesimista,2026-03-03,19891.25,Ajuste valido para Pesimista
9,Optimista,2026-08-05,362935.57,Ajuste valido para Optimista
10,Pesimista,2026-05-17,459613.06,Ajuste valido para Pesimista
11,Base,2026-08-01,72791.51,Ajuste valido para Base
12,Pesimista,2026-04-21,264946.69,Ajuste valido para Pesimista
13,Base,2026-03-13,2139.71,Ajuste valido para Base
14,Base,2026-08-23,239358.34,Ajuste valido para Base
15,Base,2026-07-30,323854.3,Ajuste valido para Base
16,Optimista,2026-05-30,240506.02,Ajuste valido para Optimista
17,Base,2026-07-04,263078.35,Ajuste valido para Base
18,Base,2026-09-17,350900.96,Ajuste valido para Base
19,Optimista,2026-10-07,462918.03,Ajuste valido para Optimista
20,Pesimista,2026-11-19,490588.35,Ajuste valido para Pesimista
21,Pesimista,2026-07-28,367651.73,Ajuste valido para Pesimista
22,Pesimista,2026-11-23,143918.32,Ajuste valido para Pesimista
23,Base,2026-11-30,269805.42,Ajuste valido para Base
24,Base,2026-06-02,497339.17,Ajuste valido para Base
25,Pesimista,2026-02-15,179126.76,Ajuste valido para Pesimista
26,Base,2026-01-21,297044.14,Ajuste valido para Base
27,Optimista,2026-07-21,341893.72,Ajuste valido para Optimista
28,Pesimista,2026-01-11,346964.13,Ajuste valido para Pesimista
29,Optimista,2026-01-24,79534.36,Ajuste valido para Optimista
30,Pesimista,2026-01-11,379338.11,Ajuste valido para Pesimista
31,Base,2026-12-15,486002.06,Ajuste valido para Base
32,Pesimista,2026-07-24,426222.88,Ajuste valido para Pesimista
